timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683038592084,494,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,475,0,96
1683038592080,666,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,666,0,101
1683038592080,853,1,200,OK,First Config 1-1,text,false,"The operation lasted too long: It took 853 milliseconds, but should not have lasted longer than 850 milliseconds.",231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,853,0,100
1683038593405,329,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,329,0,0
1683038593385,519,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,519,0,0
1683038593321,713,1,200,OK,First Config 1-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,713,0,0
1683038594905,313,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,313,0,0
1683038594887,533,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,532,0,0
1683038594820,712,1,200,OK,First Config 1-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,712,0,0
1683038596407,329,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,329,0,0
1683038596386,528,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,528,0,0
1683038596320,726,1,200,OK,First Config 1-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,726,0,0
1683038597909,324,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,324,0,0
1683038597887,519,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,519,0,0
1683038597820,716,1,200,OK,First Config 1-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,716,0,0
1683038599404,333,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,333,0,0
1683038599387,525,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,525,0,0
1683038599318,719,1,200,OK,First Config 1-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,719,0,0
1683038600905,322,3,200,OK,Third Config 3-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=3,322,0,0
1683038600886,521,2,200,OK,Second Config 2-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=2,521,0,0
1683038600820,724,1,200,OK,First Config 1-1,text,true,,231,157,1,3,http://localhost:8888/?token=490586577&user=2080993527&config=1,724,0,0
1683038601901,339,3,200,OK,Third Config 3-2,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=3,339,0,1
1683038601884,536,2,200,OK,Second Config 2-2,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=2,536,0,1
1683038601802,744,1,200,OK,First Config 1-2,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=1,744,0,1
1683038602405,359,3,200,OK,Third Config 3-1,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=3,359,0,0
1683038602385,553,2,200,OK,Second Config 2-1,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=2,553,0,0
1683038602320,729,1,200,OK,First Config 1-1,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=1,729,0,0
1683038603406,325,3,200,OK,Third Config 3-2,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=3,325,0,0
1683038603388,530,2,200,OK,Second Config 2-2,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=2,530,0,0
1683038603306,731,1,200,OK,First Config 1-2,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=1,731,0,0
1683038603907,338,3,200,OK,Third Config 3-1,text,true,,231,157,2,6,http://localhost:8888/?token=490586577&user=2080993527&config=3,338,0,0
