timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683119453969,573,Stress test,200,OK,Thread Group 1-1,text,true,,231,157,83,83,http://localhost:8888/?token=490586577&user=2080993527&config=2,573,0,4
1683119453984,558,Stress test,200,OK,Thread Group 1-3,text,true,,231,157,83,83,http://localhost:8888/?token=490586577&user=2080993527&config=2,558,0,1
1683119453975,1146,Stress test,200,OK,Thread Group 1-2,text,true,,231,157,163,163,http://localhost:8888/?token=490586577&user=2080993527&config=2,1146,0,1
1683119453999,1123,Stress test,200,OK,Thread Group 1-5,text,true,,231,157,163,163,http://localhost:8888/?token=490586577&user=2080993527&config=2,1123,0,0
1683119454005,1117,Stress test,200,OK,Thread Group 1-6,text,true,,231,157,163,163,http://localhost:8888/?token=490586577&user=2080993527&config=2,1117,0,2
1683119454017,1105,Stress test,200,OK,Thread Group 1-8,text,true,,231,157,163,163,http://localhost:8888/?token=490586577&user=2080993527&config=2,1105,0,1
1683119454014,1108,Stress test,200,OK,Thread Group 1-7,text,true,,231,157,163,163,http://localhost:8888/?token=490586577&user=2080993527&config=2,1108,0,1
1683119454054,1069,Stress test,200,OK,Thread Group 1-13,text,true,,231,157,161,161,http://localhost:8888/?token=490586577&user=2080993527&config=2,1069,0,0
1683119454050,1073,Stress test,200,OK,Thread Group 1-12,text,true,,231,157,161,161,http://localhost:8888/?token=490586577&user=2080993527&config=2,1073,0,1
1683119454042,1081,Stress test,200,OK,Thread Group 1-11,text,true,,231,157,161,161,http://localhost:8888/?token=490586577&user=2080993527&config=2,1081,0,3
1683119454035,1088,Stress test,200,OK,Thread Group 1-10,text,true,,231,157,161,161,http://localhost:8888/?token=490586577&user=2080993527&config=2,1088,0,1
1683119454066,1057,Stress test,200,OK,Thread Group 1-15,text,true,,231,157,160,160,http://localhost:8888/?token=490586577&user=2080993527&config=2,1057,0,3
1683119454076,1047,Stress test,200,OK,Thread Group 1-16,text,true,,231,157,160,160,http://localhost:8888/?token=490586577&user=2080993527&config=2,1047,0,1
1683119454081,1043,Stress test,200,OK,Thread Group 1-17,text,true,,231,157,159,159,http://localhost:8888/?token=490586577&user=2080993527&config=2,1043,0,1
